id,name,description,logo_url,created_at,updated_at,active
1,Apple,Apple is a global brand known for quality.,https://logo.example.com/apple.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
2,Samsung,Samsung is a global brand known for quality.,https://logo.example.com/samsung.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
3,Nike,Nike is a global brand known for quality.,https://logo.example.com/nike.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
4,Adidas,Adidas is a global brand known for quality.,https://logo.example.com/adidas.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
5,Sony,Sony is a global brand known for quality.,https://logo.example.com/sony.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
6,Bosch,Bosch is a global brand known for quality.,https://logo.example.com/bosch.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
7,LG,LG is a global brand known for quality.,https://logo.example.com/lg.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
8,Microsoft,Microsoft is a global brand known for quality.,https://logo.example.com/microsoft.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
9,Google,Google is a global brand known for quality.,https://logo.example.com/google.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
10,Amazon,Amazon is a global brand known for quality.,https://logo.example.com/amazon.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
11,Lenovo,Lenovo is a global brand known for quality.,https://logo.example.com/lenovo.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
12,Dell,Dell is a global brand known for quality.,https://logo.example.com/dell.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
13,HP,HP is a global brand known for quality.,https://logo.example.com/hp.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
14,Asus,Asus is a global brand known for quality.,https://logo.example.com/asus.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
15,Philips,Philips is a global brand known for quality.,https://logo.example.com/philips.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
16,Panasonic,Panasonic is a global brand known for quality.,https://logo.example.com/panasonic.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
17,Canon,Canon is a global brand known for quality.,https://logo.example.com/canon.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
18,Nikon,Nikon is a global brand known for quality.,https://logo.example.com/nikon.png,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,False
